SKU,Product_Name,Category,Product_Type,Platform,Version,Publisher,License_Type,Duration_Months,Device_Limit,MRP_INR,Selling_Price_INR,Description,Features,System_Requirements,Image_URL,Stock_Quantity,Activation_Steps,Status
TREND-MICRO-MAX,Trend Micro Maximum Security,Antivirus & Security,Antivirus,Windows|Mac|Mobile,2025,Trend Micro,Subscription,12,6,2499,1999,Multi-device security solution with password manager,Ransomware Protection|Web Protection|File Encryption|Social Media Defense,1GB RAM|150MB Storage|Windows XP or later,https://example.com/trend-micro-max.jpg,90,Download Trend Micro installer|Run setup|Enter product key|Configure devices|Restart computer,active
MS-OFFICE-365,Microsoft Office 365 Personal,Productivity,Office Suite,Windows|Mac,2025,Microsoft,Subscription,12,1,4999,3999,Access Office apps on your devices with cloud storage,Word|Excel|PowerPoint|OneNote|Outlook|1TB OneDrive,1GB RAM|2GB Storage|Internet Connection,https://example.com/office-365.jpg,80,Download Office 365|Sign in with Microsoft account|Click Install|Choose 32 or 64 bit|Complete,active
MS-OFFICE-HOME,Microsoft Office 2021 Home & Student,Productivity,Office Suite,Windows|Mac,2021,Microsoft,Lifetime,,1,5499,4499,One-time purchase Office suite for home and student use,Word|Excel|PowerPoint|OneNote|1 User,1GB RAM|2GB Storage|Internet Connection,https://example.com/office-2021.jpg,70,Download Office 2021|Run installer|Enter product key|Choose installation location|Restart,active
ADOBE-CC-2025,Adobe Creative Cloud,Creative & Design,Design Suite,Windows|Mac,2025,Adobe,Subscription,12,2,6599,5799,Complete creative suite for designers and creators,Photoshop|Illustrator|InDesign|Premiere Pro|After Effects,8GB RAM|5GB Storage|High-speed Internet,https://example.com/adobe-cc.jpg,50,Download from Adobe|Sign in with Adobe ID|Run installer|Choose installation location|Restart,active
COREL-DRAW-2025,CorelDRAW Graphics Suite 2025,Creative & Design,Design Suite,Windows,2025,Corel,Lifetime,,1,7499,6299,Professional vector design software,Vector Illustration|Photo Editing|Graphic Design|Typography,4GB RAM|3GB Storage|Windows 10 or later,https://example.com/coreldraw-2025.jpg,40,Download CorelDRAW|Run installer|Enter serial number|Choose language|Complete installation,active
AUTODESK-FUSION-360,Autodesk Fusion 360,Creative & Design,CAD Software,Windows|Mac,2025,Autodesk,Subscription,12,1,4999,3999,"Cloud-based 3D CAD, CAM, and PCB software",3D Modeling|CAM|Simulation|Rendering,4GB RAM|3GB Storage|Cloud Connection,https://example.com/fusion-360.jpg,35,Go to Autodesk website|Sign in with account|Download Fusion 360|Run installer|Activate license,active
SKETCHUP-PRO,SketchUp Pro,Creative & Design,CAD Software,Windows|Mac,2024,Trimble,Subscription,12,1,3999,3199,3D modeling software for architects and designers,3D Modeling|Layout|Extensions|Animation,4GB RAM|2GB Storage|Internet Connection,https://example.com/sketchup-pro.jpg,55,Download SketchUp|Run installer|Enter license key|Complete setup|Restart SketchUp,active
EXPRESSVPN-PRO,ExpressVPN,VPN & Privacy,VPN,Windows|Mac|Mobile|Linux,2025,ExpressVPN,Subscription,12,5,6999,5499,Fast and secure VPN with military-grade encryption,256-bit Encryption|No Logs|Speed Optimization|24/7 Support,100MB RAM|50MB Storage|Internet Connection,https://example.com/expressvpn.jpg,30,Download ExpressVPN|Install app|Create account or login|Select VPN location|Click Connect,active
NORDVPN-PLUS,NordVPN Plus,VPN & Privacy,VPN,Windows|Mac|Mobile|Linux,2025,NordVPN,Subscription,12,6,5499,4299,Premium VPN with enhanced security features,Double VPN|Onion over VPN|Threat Protection|Kill Switch,100MB RAM|50MB Storage|Internet Connection,https://example.com/nordvpn-plus.jpg,25,Download NordVPN|Run installer|Create account|Login|Select server|Click Connect button,active
SURFSHARK-VPN,Surfshark VPN,VPN & Privacy,VPN,Windows|Mac|Mobile|Linux,2025,Surfshark,Subscription,12,Unlimited,3999,2799,Unlimited simultaneous connections on one account,Kill Switch|Obfuscation|Camouflage Mode|CleanWeb,100MB RAM|50MB Storage|Internet Connection,https://example.com/surfshark.jpg,20,Download Surfshark|Install application|Create or login account|Choose server location|Connect,active
CCLEANER-PRO,CCleaner Professional,Utilities,System Utility,Windows|Mac,2025,Piriform,Subscription,12,1,1999,1499,"Clean, optimize and maintain your computer",Registry Cleaner|Junk File Remover|Startup Optimizer|Privacy Protection,100MB RAM|50MB Storage|Windows XP or later,https://example.com/ccleaner-pro.jpg,100,Download CCleaner|Run installer|Enter license key|Complete setup|Launch application,active
WINRAR-LICENSE,WinRAR License,Utilities,Archive Software,Windows,2024,RARLAB,Lifetime,,1,899,699,Powerful archive manager and file compressor,RAR Support|High Compression|Recovery|Encryption,64MB RAM|2MB Storage|Windows 95 or later,https://example.com/winrar.jpg,300,Extract WinRAR files|Copy to Program Files|Run executable|License key auto-applied,active
